H1,H2,H3,H4,H5,H6,H7,H8,HWavg,Q1,Q2,Proj1,Proj2,totals
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,94.23076923,91.64,99.63,97.5,97.47007692300001
9.5,10.0,10.0,10.0,10.0,9.5,9.5,10.0,97.85714285714286,47.14285714,60.36585366,96.5,96.0,86.42630662014285
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,95.38461538,100.0,89.13,93.67,95.78196153799999
10.0,9.0,10.0,9.0,9.0,9.0,8.0,7.0,91.42857142857142,87.69230769,82.96,99.13,92.83,91.67530219757143
10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,97.14285714285714,95.0,97.74,92.63,94.08,95.34985714285713
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,90.52631579,91.17647059,92.3,93.0,94.43910216750001
9.5,9.5,9.9,10.0,9.7,10.0,10.0,10.0,97.99999999999999,82.10526316,83.82352941,96.0,94.0,92.8840557275
10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,100.0,90.76923077,84.71,98.63,93.83,94.96692307699999
10.0,10.0,10.0,9.8,10.0,10.0,9.8,9.8,99.42857142857142,88.30769231,80.06,99.5,93.92,94.04834065957142
10.0,10.0,9.75,10.0,10.0,10.0,9.5,10.0,98.92857142857142,72.85714286,78.65853659,95.5,94.0,91.36306620307141
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,98.07692308,93.08,98.88,92.67,96.713192308
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,99.23076923,99.84,98.88,92.83,97.882576923
9.5,10.0,10.0,10.0,9.9,6.5,10.0,6.0,94.14285714285714,94.23076923,85.3,87.5,90.33,90.54343406585714
10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,99.85714285714286,93.84615385,100.0,92.75,93.0,96.14175824214286
10.0,10.0,9.5,9.8,9.0,9.0,9.75,10.0,95.78571428571428,71.42857143,84.14634146,94.5,91.0,90.1505226477143
10.0,9.75,9.8,10.0,9.9,10.0,9.5,10.0,98.49999999999997,58.42105263,74.26470588,96.5,95.7,89.756811145
10.0,10.0,10.0,9.9,10.0,10.0,10.0,10.0,99.85714285714286,84.73684211,90.44117647,89.5,92.0,92.89700353864286
9.5,9.9,10.0,9.95,9.5,9.0,10.0,10.0,96.92857142857142,80.0,74.3902439,96.5,96.0,91.53710801357141
10.0,9.0,10.0,10.0,9.8,10.0,10.0,10.0,98.28571428571428,88.94736842,87.5,93.8,95.0,94.01545112771429
10.0,9.5,10.0,10.0,10.0,10.0,10.0,9.8,99.28571428571429,94.61538462,84.12,92.75,92.83,93.62275274771429
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,88.84615385,78.79,95.75,92.67,93.02061538500001
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,91.92307692,86.81,96.5,92.83,94.72130769200001
10.0,10.0,10.0,10.0,9.5,10.0,10.0,10.0,99.28571428571429,81.80952381,88.41463415,94.5,91.0,92.87886178921428
10.0,10.0,10.0,10.0,9.9,10.0,9.0,10.0,98.42857142857143,95.0,81.75,92.88,93.33,93.19957142857143
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,95.38461538,100.0,95.0,93.33,96.87096153799999
10.0,10.0,10.0,10.0,9.9,10.0,10.0,10.0,99.85714285714286,92.69230769,90.19,99.63,98.0,97.18087362614285
10.0,10.0,9.9,9.7,9.7,10.0,10.0,10.0,99.0,65.57894737,75.73529412,91.0,96.3,89.893188855
10.0,10.0,10.0,9.9,9.8,10.0,9.5,10.0,98.85714285714286,55.78947368,79.77941176,92.8,95.3,89.58800198914287
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,83.44,98.38,92.67,95.3595
10.0,10.0,10.0,10.0,9.9,8.0,8.5,10.0,94.85714285714286,96.07692308,54.5,88.0,88.88,86.05983516514286
9.5,10.0,9.0,10.0,9.5,9.0,10.0,10.0,95.71428571428571,84.28571429,87.19512195,95.0,95.0,92.97212543578571
10.0,10.0,9.8,9.9,9.9,10.0,10.0,10.0,99.42857142857142,90.94736842,89.70588235,90.0,92.0,93.37919062307142
10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,100.0,90.76923077,93.6,95.5,92.33,95.299423077
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,91.38461538,90.04,95.75,92.33,94.876961538
10.0,10.0,9.9,10.0,9.9,10.0,10.0,9.8,99.71428571428572,95.0,92.12,95.75,93.0,95.63228571428571
10.0,10.0,10.0,9.9,9.8,10.0,10.0,10.0,99.57142857142857,79.36842105,87.5,89.5,9.0,71.08327067642857
